boardType,title,content
건의합니다,라즈베리 성장이벤트는 안하나요?,그리고 샤벳상어쿠키 조각은 안파나요?ㅠ ? 주식때매 크게 벌어서 고맙긴한데  ? 뭔가 업뎃 느려서 답답해!
[퓨어바닐라] 길드 게시판,"???? \ ?? 상자 ?? 길드원 모집합니다 \"" ????""","? ?? 길드 레벨 36 ?? 토벌전 상위 5% ?? 오픈톡 X  ? ?? 왕국레벨 35 이상 ?? 전투력 20만 이상 ?? 모집인원수 제한 X 　(자리여유있어요) ? ?? ?적당한 길드에서 　　적당히 현생과 쿠생 오가실 분 구합니다 :) ? ?? ?토벌전은 5 프로지만 　　같이 열심히 해서 \ 3 프로 이상 \"" ?들어보실 분들 　　가입신청 주세요 ~  ? ??? 출석체크"
자유 게시판,아 500찍먹 늦엇네 조졌다,벌써 외 480명?
질문 게시판,( 일반 ) 12 - 30 어떤 조합을 써야할까요..?,1차전은 무난하게 클리어하지만 2차전에서 도저히 공격이 안들어가는 듯 하는데 어떤 조합을 써야할까요..? ? [ 쿠키 ] ★ 쿠키 레벨 / ( 스킬 ) 5 블랙레이즌 54 / ( 54 ) 딸기크레페 52 / ( 52 ) ★ 쿠키 레벨 / ( 스킬 ) 4 에스프레소 46 / ( 46 ) 마들렌 35 / ( 35 ) ★ 쿠키 레벨 / ( 스킬 ) 3 뱀파이어 56 / ( 56 ) 다크초코 56 / ( 56 ) 오징어먹물 44 / ( 44 ) 정글전사 44 / ( 44 ) 독버섯 43 / ( 43 ) 아몬드 43 / ( 43 ) 라떼 42 / ( 42 ) 라즈베리 41 / ( 41 ) 구미호 40 / ( 37 ) 민트초코 38 / ( 38 ) 칠리 37 / ( 37 ) 망고 35 / ( 35 ) 우유 35 / ( 35 ) 슈크림 33 / ( 33 ) 벨벳케이크 32 / ( 32 ) 웨어울프 31 / ( 28 ) 눈설탕 27 / ( 27 ) 스파클링 24 / ( 24 ) ★ 쿠키 레벨 / ( 스킬 ) 2 샤벳상어 53 / ( 53 ) 감초 52 / ( 52 ) 허브 50 / ( 50 ) 석류 49 / ( 49 ) 호밀 45 / ( 45 ) 무화과 20 / ( 20 ) ★ 쿠키 레벨 / ( 스킬 ) 1 페스츄리 36 / ( 36 ) 파르페 19 / ( 19 ) 자색고구마 16 / ( 16 ) 퓨어바닐라 50 / ( 50 ) [ 보물 ] EPIC RARE COMMON 모노클 Lv. 6 아이스크림 Lv. 11 뿔 / 젤리시계 Lv. MAX 무공비급 / 횃불 / 점액 / 스태프 / 모노클 Lv. 4 새총 / 종이부적 / 낫 Lv. 10 깃털 / 나뭇가지 / 망토 Lv. 3 숨겨둔 사탕 Lv. 9 플라밍고 튜브 Lv. 2 ?
자유 게시판,이번시즌도 아레나 물시즌일까,??
자유 게시판,쿠키런 킹덤이 응답하지 않습니다.png,?
자유 게시판,생산 관련 표나 글이 있을까요?,"건물은 각 마다 몇 레벨 까지 올려야 하는지, 어디까지 칸을 열어야 하는지, 각 생산품은 어느 정도 있어야 좋은지 등이요"
[퓨어바닐라] 길드 게시판,1% 48렙 [ 마교 ] 길드원 모집 (29/30)?,1% 48렙 [ 마교 ] 길드원 모집 (29/30)? ? 1. 성인 2. 용50렙 기준 데미지 350만 이상 3. ?오픈챗참여 (23:00길드토벌 미참가시 태그알림 용도) ? 길드원 구하고 있어요~ https://open.kakao.com/o/s7Pp6qsd ? ?*몰아치기 가능 ?*친목 안하셔도 됩니다 ?*50단계에 데미지 사진 받습니다(가입 후 1회)? ? *강퇴기준 2일이상 미접속 주2일 이상 토벌전 미참여?? ? ? 오픈채팅 대화참여는 잘 안하셔도 되는데 밤11시까지 용 안치실 경우 카톡알람으로 알람 드립니다
[퓨어바닐라] 길드 게시판,48렙 1프로 길드에서 350만이상 길드원모집해요,미용미니 친추요
자유 게시판,좋았어 희망이 보인다,근데 왜 그다음을 못하니
[퓨어바닐라] 길드 게시판,100위권 47렙 길드 v쿠키좋아v에서 길원 모집합니다,"v쿠키좋아v 길드에서 길원 2명(28/30) 모십니다. ? 길드 레벨 - 47 ? 무조건 3회토벌 ? - 길원 평균딜량과 비슷하신분 (약 450만) ? - 딜량이 적어도 규정숙지 잘하고 토벌에 진심이신분 지원해주시구요~ ? ※ 면접 시 필요한 내용 ? - 토벌덱, 토벌보물 스샷첨부 ? - 성인이상이신분 ? - 어떠한 규정이든 적극적으로 참여하실분(전체적인 시간적인 여유가있으신분 학생, 퇴근후 가능한 직장인 죄송합니다.) ? -> 대부분의 길원분들이 오픈 후 함께 했구요 무과금 or 소과금이신분들이 대부분입니다. 무과금 or 소과금이지만 시간투자가 어느정도 가능하신분들이라 성장속도가 빠릅니다. 이분들처럼 쿠킹덤에 푸욱 빠져계신분들을 모십니다. ? https://open.kakao.com/o/gNWmQTad ? ?"
자유 게시판,이번 신규 스테이지에서의 공주 평은 좋은것 같다,이번 신규 스테이지 스토리에서 정글베리는 용과 드래곤의 화를 풀기위해 새로운 공주를 뽑는 대회를 열었고 공주는 이 사실을 알고 충격 받았었음. 그러나 혈연에만 의존하지 않고 본인의 실력을 증명해서 공주라는것을 보여주기위해 직접 대회에도 참가했을 정도로 의지가 강했음. 정글베리는 이런 공주의 모습을 보기위해 그냥 봤을뿐이였고. ? 이번 스토리로 인해 공주 평은 전보다 좋은것 같은데 어떰? 그리고 정글베리가 공주 교육을 진짜 잘 시킨점도 있는것같음.
질문 게시판,홀리 토핑 평가 좀,마3  가능?
